name,regex
AMERICAN ECONOMIC REVIEW,am.* ec.* rev.*
QUARTERLY JOURNAL OF ECONOMICS,q.*? j.*? ec.*?
JOURNAL OF FINANCE,j financ$
JOURNAL OF POLITICAL ECONOMY,j.* po.* ec.*
REVIEW OF ECONOMIC STUDIES,rev.* ec.* stu.*
ECONOMETRICA,econometrica
ECONOMIC JOURNAL,^ec.* j.*$
