CITING,YEAR,AER,QJE,JFIN,JPE,RES,ECTRA,EJ,REFS_TO_7J,TOTAL_REFS
JPE,1935,4,4,0,6,6,10,16,46,580
RES,1935,0,1,0,3,3,2,3,12,80
ECTRA,1935,0,3,0,4,1,4,10,22,267
EJ,1935,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1936,8,8,0,4,1,0,18,39,246
QJE,1936,2,9,0,9,4,2,10,36,411
JFIN,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1936,4,3,0,6,0,1,9,23,525
RES,1936,3,1,0,2,12,3,7,28,140
ECTRA,1936,0,9,0,5,5,17,13,49,484
EJ,1936,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1937,12,6,0,7,0,0,1,26,270
QJE,1937,8,14,0,13,1,2,6,44,286
JFIN,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1937,3,10,0,4,0,1,7,25,423
RES,1937,0,2,0,1,4,6,1,14,93
ECTRA,1937,2,5,0,4,4,11,6,32,212
EJ,1937,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1938,11,12,0,7,3,1,8,42,319
QJE,1938,5,17,0,8,10,11,17,68,383
JFIN,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1938,3,5,0,8,2,2,9,29,598
RES,1938,1,3,0,1,6,1,18,30,131
ECTRA,1938,3,4,0,4,3,14,5,33,163
EJ,1938,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1939,18,8,0,4,1,3,5,39,389
QJE,1939,4,17,0,10,5,2,12,50,438
JFIN,1939,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1939,4,9,0,20,6,7,14,60,575
RES,1939,0,1,0,0,2,4,9,16,67
ECTRA,1939,0,2,0,1,5,15,6,29,243
EJ,1939,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1940,18,17,0,5,3,0,7,50,495
QJE,1940,15,28,0,6,1,5,17,72,502
JFIN,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1940,10,4,0,15,5,4,5,43,665
RES,1940,0,1,0,1,1,1,4,8,42
ECTRA,1940,0,3,0,0,2,15,1,21,141
EJ,1940,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1941,13,7,0,6,3,4,13,46,249
QJE,1941,10,19,0,8,8,1,15,61,773
JFIN,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1941,2,9,0,15,2,9,5,42,460
RES,1941,0,4,0,0,5,2,5,16,98
ECTRA,1941,0,4,0,2,5,10,1,22,116
EJ,1941,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1942,31,21,0,11,7,9,11,90,567
QJE,1942,8,10,0,8,2,12,4,44,583
JFIN,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1942,21,24,0,22,9,13,45,134,702
RES,1942,0,2,0,1,1,0,4,8,43
ECTRA,1942,5,6,0,5,3,16,10,45,188
EJ,1942,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1943,18,16,0,2,3,0,12,51,327
QJE,1943,21,7,0,5,2,2,7,44,538
JFIN,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1943,7,8,0,11,3,1,6,36,589
RES,1943,1,1,0,0,0,1,1,4,26
ECTRA,1943,2,7,0,3,1,15,4,32,129
EJ,1943,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1944,14,2,0,1,0,0,3,20,399
QJE,1944,19,1,0,13,10,4,10,57,444
JFIN,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1944,5,5,0,3,1,0,7,21,369
RES,1944,0,0,0,0,6,0,3,9,33
ECTRA,1944,4,6,0,6,3,18,1,38,150
EJ,1944,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1945,26,11,0,12,2,16,10,77,681
QJE,1945,14,8,0,14,4,14,6,60,549
JFIN,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1945,6,10,0,12,0,0,3,31,541
RES,1945,0,0,0,0,0,0,2,2,9
ECTRA,1945,1,6,0,3,9,21,4,44,152
EJ,1945,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1946,43,10,0,9,4,13,9,88,736
QJE,1946,8,1,0,6,3,3,6,27,419
JFIN,1946,5,0,0,1,0,0,0,6,55
JPE,1946,6,13,0,11,3,6,3,42,512
RES,1946,0,0,0,0,1,1,5,7,39
ECTRA,1946,3,5,0,3,7,35,3,56,227
EJ,1946,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1947,42,18,0,10,1,4,13,88,579
QJE,1947,12,5,0,6,0,6,16,45,443
JFIN,1947,0,1,0,1,0,0,0,2,32
JPE,1947,14,3,0,15,2,7,2,43,581
RES,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1947,0,1,0,1,1,19,2,24,234
EJ,1947,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1948,49,25,0,31,6,18,36,165,940
QJE,1948,14,5,0,12,8,3,10,52,328
JFIN,1948,0,1,0,0,1,0,1,3,138
JPE,1948,14,8,0,12,1,5,2,42,446
RES,1948,0,1,0,0,9,3,6,19,108
ECTRA,1948,2,3,0,5,2,26,2,40,147
EJ,1948,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1949,44,12,0,16,10,17,4,103,583
QJE,1949,29,6,0,11,3,4,10,63,458
JFIN,1949,4,0,1,2,0,0,0,7,115
JPE,1949,21,16,1,21,11,6,18,94,804
RES,1949,4,8,0,4,18,10,29,73,181
ECTRA,1949,4,2,0,3,2,23,3,37,156
EJ,1949,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1950,49,26,0,22,2,6,5,110,803
QJE,1950,9,5,0,5,2,10,4,35,359
JFIN,1950,28,1,5,3,0,1,0,38,244
JPE,1950,14,13,0,20,6,8,12,73,621
RES,1950,10,1,1,7,8,6,3,36,212
ECTRA,1950,5,8,0,5,6,38,4,66,274
EJ,1950,10,4,0,5,2,9,9,39,273
AER,1951,23,29,0,27,13,12,22,126,789
QJE,1951,18,9,0,8,4,12,16,67,425
JFIN,1951,13,3,2,5,0,1,1,25,248
JPE,1951,19,9,1,9,4,7,17,66,493
RES,1951,6,5,0,5,12,17,16,61,219
ECTRA,1951,6,5,0,5,10,43,3,72,306
EJ,1951,4,7,0,5,11,5,15,47,291
AER,1952,38,16,0,18,3,11,18,104,503
QJE,1952,16,3,0,7,2,12,6,46,375
JFIN,1952,13,3,0,6,1,0,2,25,288
JPE,1952,17,8,0,14,4,7,10,60,472
RES,1952,1,7,0,4,19,4,14,49,249
ECTRA,1952,3,11,0,4,8,41,2,69,273
EJ,1952,9,3,0,3,5,5,30,55,373
AER,1953,26,9,0,25,6,12,11,89,562
QJE,1953,23,19,0,14,6,4,14,80,598
JFIN,1953,5,0,2,3,0,0,0,10,156
JPE,1953,19,19,0,19,5,8,3,73,753
RES,1953,5,4,0,4,13,6,17,49,170
ECTRA,1953,5,10,0,14,12,37,5,83,344
EJ,1953,11,4,0,5,8,8,17,53,393
AER,1954,42,18,0,27,6,8,15,116,695
QJE,1954,56,20,0,18,11,23,20,148,698
JFIN,1954,16,2,1,2,0,1,2,24,215
JPE,1954,26,15,1,21,7,10,20,100,628
RES,1954,5,7,0,2,8,14,13,49,204
ECTRA,1954,2,2,0,7,6,46,5,68,266
EJ,1954,9,1,0,7,6,8,24,55,291
AER,1955,40,15,1,11,8,10,17,102,627
QJE,1955,11,9,0,9,5,6,15,55,475
JFIN,1955,0,1,3,0,0,0,0,4,159
JPE,1955,24,18,0,15,3,7,17,84,656
RES,1955,4,1,0,2,15,11,7,40,171
ECTRA,1955,1,3,0,0,5,13,1,23,205
EJ,1955,11,3,0,6,11,14,55,100,418
AER,1956,15,14,1,8,3,8,24,73,548
QJE,1956,24,27,0,12,8,9,22,102,485
JFIN,1956,4,2,2,4,1,0,1,14,162
JPE,1956,9,13,0,18,2,6,12,60,568
RES,1956,7,2,0,0,8,4,7,28,100
ECTRA,1956,4,5,0,5,9,32,10,65,292
EJ,1956,15,16,0,6,3,7,32,79,346
AER,1957,10,11,1,4,5,2,2,35,146
QJE,1957,28,34,0,20,12,8,21,123,513
JFIN,1957,5,3,2,3,0,1,0,14,169
JPE,1957,16,5,2,15,2,4,14,58,573
RES,1957,5,9,2,6,20,25,14,81,272
ECTRA,1957,8,2,0,5,6,42,8,71,380
EJ,1957,10,7,0,10,6,7,28,68,342
AER,1958,15,3,0,3,7,13,4,45,239
QJE,1958,30,27,1,9,8,6,23,104,465
JFIN,1958,10,5,3,6,0,0,0,24,219
JPE,1958,15,15,1,24,7,10,9,81,505
RES,1958,3,2,0,5,5,13,7,35,131
ECTRA,1958,1,8,0,5,12,53,1,80,345
EJ,1958,11,9,0,3,0,3,32,58,304
AER,1959,27,10,1,17,2,22,8,87,803
QJE,1959,29,32,4,8,8,5,17,103,447
JFIN,1959,12,3,2,3,1,2,4,27,241
JPE,1959,23,15,3,22,8,7,5,83,484
RES,1959,7,4,0,2,20,31,8,72,210
ECTRA,1959,9,7,0,0,14,56,9,95,332
EJ,1959,20,8,0,11,16,11,44,110,432
AER,1960,8,4,0,3,1,1,4,21,93
QJE,1960,24,31,1,24,7,23,30,140,581
JFIN,1960,6,0,4,8,1,3,1,23,168
JPE,1960,20,7,0,34,3,5,5,74,488
RES,1960,2,4,0,0,17,23,11,57,155
ECTRA,1960,7,9,0,2,14,56,12,100,506
EJ,1960,8,3,0,6,11,14,35,77,290
AER,1961,28,17,1,13,4,2,18,83,401
QJE,1961,18,20,0,22,5,13,14,92,542
JFIN,1961,2,3,2,2,0,0,2,11,189
JPE,1961,14,21,1,51,12,5,18,122,516
RES,1961,3,7,0,2,5,5,7,29,91
ECTRA,1961,5,14,0,8,23,84,10,144,555
EJ,1961,14,15,2,6,15,25,47,124,366
AER,1962,10,6,0,2,2,8,0,28,194
QJE,1962,38,49,0,15,6,10,11,129,561
JFIN,1962,15,4,10,6,0,2,1,38,175
JPE,1962,28,16,0,61,9,9,16,139,545
RES,1962,5,3,0,2,11,13,10,44,144
ECTRA,1962,13,2,0,2,11,98,11,137,489
EJ,1962,14,19,0,6,10,8,33,90,381
AER,1963,17,4,0,1,3,16,8,49,362
QJE,1963,26,37,1,7,3,16,7,97,428
JFIN,1963,22,6,7,8,0,2,3,48,237
JPE,1963,28,14,0,49,11,11,9,122,568
RES,1963,2,6,0,4,23,24,4,63,187
ECTRA,1963,4,6,0,4,8,66,5,93,328
EJ,1963,9,7,0,3,6,6,25,56,313
AER,1964,37,13,2,17,9,11,12,101,851
QJE,1964,25,38,0,14,9,6,11,103,542
JFIN,1964,14,8,11,18,5,5,4,65,274
JPE,1964,23,16,2,27,6,9,6,89,461
RES,1964,17,10,0,10,22,31,8,98,328
ECTRA,1964,9,8,0,4,12,65,2,100,378
EJ,1964,11,12,0,6,12,5,49,95,307
AER,1965,50,16,2,28,15,24,22,157,775
QJE,1965,28,52,1,23,14,14,16,148,558
JFIN,1965,9,10,4,16,4,1,3,47,283
JPE,1965,46,11,0,71,23,7,23,181,718
RES,1965,10,12,0,13,38,17,22,112,293
ECTRA,1965,8,5,1,4,21,78,8,125,515
EJ,1965,16,5,0,18,10,6,31,86,422
AER,1966,47,24,1,28,15,15,28,158,1116
QJE,1966,18,23,2,17,13,5,9,87,480
JFIN,1966,39,12,10,7,3,6,4,81,416
JPE,1966,24,16,6,46,14,16,23,145,722
RES,1966,11,7,0,3,34,14,10,79,218
ECTRA,1966,8,18,2,23,38,132,13,234,852
EJ,1966,12,5,0,1,12,8,16,54,286
AER,1967,85,21,6,34,16,42,21,225,1223
QJE,1967,27,32,3,21,9,5,9,106,458
JFIN,1967,11,12,17,13,3,6,2,64,302
JPE,1967,27,25,6,69,10,32,29,198,1017
RES,1967,29,9,0,10,77,38,12,175,410
ECTRA,1967,10,7,2,5,11,59,8,102,427
EJ,1967,22,25,0,14,18,9,35,123,429
AER,1968,101,19,0,30,29,33,27,239,1446
QJE,1968,38,24,0,22,9,23,11,127,527
JFIN,1968,25,16,29,10,8,8,6,102,508
JPE,1968,41,26,7,48,17,37,22,198,972
RES,1968,7,12,1,6,53,57,10,146,369
ECTRA,1968,10,2,3,16,15,69,9,124,554
EJ,1968,18,6,0,11,8,6,30,79,585
AER,1969,96,45,4,69,37,41,33,325,1451
QJE,1969,48,49,4,15,27,31,4,178,608
JFIN,1969,36,25,43,15,11,15,8,153,678
JPE,1969,44,18,7,58,36,38,20,221,854
RES,1969,18,26,3,19,54,34,14,168,443
ECTRA,1969,9,6,1,14,37,130,12,209,706
EJ,1969,17,14,0,13,23,4,27,98,540
AER,1970,142,47,19,51,43,42,33,377,1738
QJE,1970,34,27,4,36,17,13,21,152,552
JFIN,1970,50,21,72,37,16,22,4,222,913
JPE,1970,33,18,1,78,23,21,32,206,963
RES,1970,14,22,1,23,64,60,12,196,574
ECTRA,1970,20,10,0,14,26,123,8,201,778
EJ,1970,30,20,0,17,13,5,34,119,520
AER,1971,132,51,9,66,26,46,22,352,1688
QJE,1971,36,38,8,26,16,12,16,152,501
JFIN,1971,56,24,74,42,11,20,7,234,915
JPE,1971,73,24,6,100,24,28,15,270,1055
RES,1971,21,17,2,18,54,53,12,177,429
ECTRA,1971,25,20,0,14,42,105,5,211,757
EJ,1971,38,19,0,21,21,17,49,165,611
AER,1972,120,45,9,64,27,46,15,326,1377
QJE,1972,39,32,5,18,19,25,15,153,525
JFIN,1972,67,21,80,37,12,25,0,242,1059
JPE,1972,65,17,0,94,27,38,12,253,1111
RES,1972,20,7,2,14,32,49,16,140,401
ECTRA,1972,27,15,1,15,28,151,11,248,967
EJ,1972,53,19,2,25,51,52,68,270,1041
AER,1973,162,42,4,78,39,57,28,410,1707
QJE,1973,44,29,1,42,17,10,13,156,551
JFIN,1973,83,28,104,40,21,23,3,302,1259
JPE,1973,60,26,8,90,20,26,15,245,1144
RES,1973,33,9,2,33,66,52,9,204,597
ECTRA,1973,21,15,4,15,35,151,11,252,877
EJ,1973,34,14,3,22,13,23,34,143,811
AER,1974,197,48,7,99,63,74,30,518,1797
QJE,1974,30,28,1,19,17,16,9,120,378
JFIN,1974,116,38,118,50,21,30,6,379,1592
JPE,1974,65,22,3,133,16,30,15,284,1036
RES,1974,22,28,0,21,83,50,9,213,690
ECTRA,1974,25,8,1,19,50,179,13,295,1091
EJ,1974,44,19,0,17,15,23,52,170,775
AER,1975,189,39,12,93,53,65,24,475,1861
QJE,1975,36,44,3,40,22,14,11,170,550
JFIN,1975,90,29,100,37,18,47,3,324,1291
JPE,1975,61,21,2,98,28,25,20,255,999
RES,1975,36,19,0,26,72,65,19,237,731
ECTRA,1975,28,13,2,15,38,118,7,221,807
EJ,1975,16,11,1,11,7,5,38,89,502
AER,1976,194,46,16,101,40,66,20,483,1857
QJE,1976,46,30,3,29,19,14,9,150,580
JFIN,1976,76,22,116,39,19,40,3,315,1352
JPE,1976,59,17,6,74,17,23,14,210,938
RES,1976,30,18,1,22,87,54,7,219,614
ECTRA,1976,37,22,6,36,55,175,39,370,1385
EJ,1976,34,11,3,19,5,6,37,115,571
AER,1977,197,45,20,115,56,62,37,532,2142
