CITING,YEAR,AER,QJE,JFIN,JPE,RES,ECTRA,EJ,REFS_TO_7J,TOTAL_REFS
AER,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1900,0,5,0,0,0,0,2,7,295
JFIN,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1900,0,4,0,1,0,0,1,6,247
RES,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1900,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1901,0,1,0,2,0,0,5,8,181
JFIN,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1901,0,1,0,1,0,0,1,3,234
RES,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1901,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1902,0,0,0,1,0,0,1,2,436
JFIN,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1902,0,0,0,0,0,0,0,0,199
RES,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1902,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1903,0,4,0,0,0,0,0,4,204
JFIN,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1903,0,0,0,2,0,0,0,2,143
RES,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1903,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1904,0,4,0,1,0,0,4,9,341
JFIN,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1904,0,6,0,0,0,0,0,6,96
RES,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1904,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1905,0,3,0,0,0,0,1,4,95
JFIN,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1905,0,1,0,0,0,0,0,1,108
RES,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1905,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1906,0,3,0,0,0,0,0,3,277
JFIN,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1906,0,0,0,0,0,0,0,0,216
RES,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1906,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1907,0,3,0,0,0,0,0,3,162
JFIN,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1907,0,1,0,2,0,0,0,3,343
RES,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1907,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1908,0,2,0,2,0,0,1,5,190
JFIN,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1908,0,2,0,2,0,0,0,4,203
RES,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1908,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1909,0,4,0,1,0,0,0,5,234
JFIN,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1909,0,0,0,0,0,0,1,1,248
RES,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1909,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA
QJE,1910,0,1,0,0,0,0,0,1,203
JFIN,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1910,0,1,0,5,0,0,0,6,199
RES,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1910,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1911,0,1,0,1,0,0,0,2,175
QJE,1911,0,3,0,0,0,0,0,3,253
JFIN,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1911,0,2,0,1,0,0,1,4,268
RES,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1911,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1912,0,1,0,0,0,0,0,1,109
QJE,1912,1,8,0,0,0,0,5,14,342
JFIN,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1912,1,1,0,2,0,0,0,4,423
RES,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1912,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1913,2,3,0,2,0,0,0,7,168
QJE,1913,3,1,0,2,0,0,2,8,264
JFIN,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1913,0,3,0,1,0,0,0,4,157
RES,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1913,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1914,9,9,0,0,0,0,3,21,292
QJE,1914,0,4,0,0,0,0,1,5,182
JFIN,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1914,4,1,0,5,0,0,0,10,379
RES,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1914,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1915,3,3,0,2,0,0,0,8,148
QJE,1915,4,4,0,2,0,0,2,12,395
JFIN,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1915,1,3,0,3,0,0,1,8,357
RES,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1915,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1916,7,16,0,7,0,0,3,33,282
QJE,1916,1,10,0,0,0,0,0,11,283
JFIN,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1916,4,1,0,2,0,0,1,8,462
RES,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1916,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1917,3,2,0,2,0,0,2,9,173
QJE,1917,1,2,0,1,0,0,0,4,285
JFIN,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1917,2,3,0,2,0,0,1,8,427
RES,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1917,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1918,1,2,0,0,0,0,0,3,164
QJE,1918,1,4,0,1,0,0,1,7,201
JFIN,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1918,2,3,0,7,0,0,0,12,489
RES,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1918,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1919,7,5,0,5,0,0,0,17,220
QJE,1919,0,16,0,9,0,0,0,25,387
JFIN,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1919,2,6,0,12,0,0,0,20,381
RES,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1919,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1920,10,10,0,0,0,0,1,21,297
QJE,1920,3,8,0,4,0,0,1,16,170
JFIN,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1920,7,2,0,13,0,0,6,28,311
RES,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1920,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1921,10,4,0,6,0,0,1,21,226
QJE,1921,1,4,0,0,0,0,0,5,155
JFIN,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1921,2,3,0,8,0,0,1,14,386
RES,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1921,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1922,4,4,0,0,0,0,2,10,96
QJE,1922,2,3,0,2,0,0,0,7,194
JFIN,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1922,3,4,0,1,0,0,0,8,604
RES,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1922,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1923,5,0,0,1,0,0,0,6,93
QJE,1923,3,9,0,1,0,0,2,15,287
JFIN,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1923,6,5,0,10,0,0,4,25,618
RES,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1923,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1924,2,8,0,4,0,0,1,15,118
QJE,1924,1,11,0,0,0,0,3,15,298
JFIN,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1924,12,3,0,10,0,0,1,26,422
RES,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1924,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1925,10,4,0,1,0,0,3,18,239
QJE,1925,5,4,0,0,0,0,1,10,286
JFIN,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1925,5,15,0,11,0,0,5,36,349
RES,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1925,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1926,15,7,0,1,0,0,4,27,267
QJE,1926,1,5,0,4,0,0,3,13,315
JFIN,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1926,1,12,0,5,0,0,7,25,466
RES,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1926,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1927,4,1,0,0,0,0,0,5,190
QJE,1927,1,13,0,6,0,0,10,30,466
JFIN,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1927,2,8,0,3,0,0,3,16,403
RES,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1927,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1928,8,1,0,0,0,0,1,10,282
QJE,1928,4,10,0,2,0,0,1,17,299
JFIN,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1928,0,1,0,3,0,0,5,9,439
RES,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1928,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1929,3,4,0,1,0,0,12,20,348
QJE,1929,1,4,0,1,0,0,3,9,356
JFIN,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1929,3,2,0,1,0,0,2,8,382
RES,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1929,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1930,1,3,0,1,0,0,6,11,204
QJE,1930,3,12,0,6,0,0,4,25,394
JFIN,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1930,7,3,0,3,0,0,2,15,355
RES,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1930,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1931,13,4,0,4,0,0,6,27,351
QJE,1931,2,9,0,6,0,0,5,22,337
JFIN,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1931,0,3,0,5,0,0,5,13,426
RES,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1931,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1932,16,2,0,7,0,0,4,29,334
QJE,1932,1,17,0,7,0,0,7,32,519
JFIN,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1932,9,8,0,7,0,0,6,30,586
RES,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECTRA,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA
EJ,1932,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1933,10,6,0,3,0,0,1,20,316
QJE,1933,9,8,0,7,0,0,11,35,423
JFIN,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1933,2,6,0,4,0,4,5,21,379
RES,1933,2,12,0,1,0,1,6,22,127
ECTRA,1933,5,18,0,8,0,0,9,40,253
EJ,1933,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1934,6,8,0,0,0,1,3,18,289
QJE,1934,2,8,0,4,0,0,19,33,419
JFIN,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA
JPE,1934,0,10,0,9,0,0,6,25,560
RES,1934,1,1,0,0,4,2,9,17,155
ECTRA,1934,0,3,0,4,0,4,4,15,203
EJ,1934,NA,NA,NA,NA,NA,NA,NA,NA,NA
AER,1935,5,5,0,7,0,0,2,19,284
QJE,1935,6,4,0,2,3,0,7,22,343
JFIN,1935,NA,NA,NA,NA,NA,NA,NA,NA,NA
